mix_id,flow_id,size,slowdown,sim
0,4,5444,1.0057943673359386,Ns3
0,1,70220,1.0070002592688618,Ns3
0,0,86223,1.0070418785442348,Ns3
0,2,107287,1.0070603960289315,Ns3
0,9,5107,1.0060131450146832,Ns3
0,5,97865,1.5102596360323624,Ns3
0,8,102284,1.0168098533512457,Ns3
0,10,129010,1.2996954570846773,Ns3
0,21,21569,2.68737158966028,Ns3
0,16,176120,1.0632460454605874,Ns3
0,12,313213,1.0440303007462124,Ns3
0,11,365968,1.0071174722150427,Ns3
0,20,77941,3.737066056284297,Ns3
0,6,256610,1.9473886120739456,Ns3
0,30,13677,2.705611068408916,Ns3
0,26,74416,1.40426249616682,Ns3
0,29,28674,2.787975743145206,Ns3
0,38,9306,1.0062839992496717,Ns3
0,40,12859,1.0273882076510756,Ns3
0,3,384340,1.8957099772265649,Ns3
0,18,480458,1.0865044564246995,Ns3
0,27,184167,1.425881514748634,Ns3
0,41,65137,1.3595683578452702,Ns3
0,33,145561,1.5216636837600186,Ns3
0,13,228889,2.980400819929001,Ns3
0,54,51623,1.0470376474670369,Ns3
0,51,127988,1.0497674672092432,Ns3
0,53,125160,1.0542903279692633,Ns3
0,39,219317,1.483603088116324,Ns3
0,36,79220,3.8000809336083337,Ns3
0,14,328970,2.5132918755116402,Ns3
0,45,233067,1.0100260870003985,Ns3
0,47,178595,1.372452726271342,Ns3
0,23,246803,3.2083742714603227,Ns3
0,37,292542,1.4701840688695793,Ns3
0,57,68885,1.5707304187029454,Ns3
0,46,307414,1.039739243606823,Ns3
0,68,16872,1.8920558271008774,Ns3
0,17,290721,3.254705214513008,Ns3
0,55,88315,2.942306691643251,Ns3
0,73,51747,1.0069031183051655,Ns3
0,48,413084,1.0423765961774827,Ns3
0,65,95608,2.0448705587427085,Ns3
0,79,11933,1.7318535825545172,Ns3
0,43,153753,3.450008630361612,Ns3
0,76,120133,1.3817677850534082,Ns3
0,63,85270,3.9505595415921837,Ns3
0,58,233591,2.037325908097602,Ns3
0,22,403123,2.9741611092847413,Ns3
0,28,327609,2.9185187588548933,Ns3
0,86,183729,1.0070848717899663,Ns3
0,67,113810,4.495326722189415,Ns3
0,78,69150,4.925979169722752,Ns3
0,96,31081,2.981568573206999,Ns3
0,87,274793,1.1824323744648724,Ns3
0,85,58396,5.112272858379002,Ns3
0,97,32540,3.2214513344841325,Ns3
0,70,74706,7.062688863249272,Ns3
0,90,155599,2.021134001275845,Ns3
0,94,238187,1.2801663464530373,Ns3
0,64,259961,2.827728084246395,Ns3
0,88,144702,2.6983941535263356,Ns3
0,106,2651,1.125788643533123,Ns3
0,81,180110,3.075563704455021,Ns3
0,71,240392,3.006103500090549,Ns3
0,82,83841,6.0993735550749495,Ns3
0,60,495559,1.720648693119175,Ns3
0,42,303435,3.678615448599191,Ns3
0,108,9424,2.8935888232370646,Ns3
0,92,203891,2.216531761292328,Ns3
0,72,152696,4.740076722640417,Ns3
0,25,430922,3.3984261306915395,Ns3
0,74,308616,2.544092675315139,Ns3
0,109,29205,3.6353960939214396,Ns3
0,112,41413,1.5196143913082198,Ns3
0,15,603404,2.964642005219139,Ns3
0,110,42075,2.600452906516577,Ns3
0,102,200578,1.0632568533620377,Ns3
0,116,7250,1.8014740846409891,Ns3
0,62,398696,2.557500089032396,Ns3
0,50,540524,2.311578162192995,Ns3
0,44,383697,3.3301317125064394,Ns3
0,89,209087,3.000868210031331,Ns3
0,52,309374,3.9363154945466827,Ns3
0,113,35722,2.3765042979942694,Ns3
0,91,191544,3.537759286419827,Ns3
0,69,742229,1.4055900969024813,Ns3
0,114,125820,1.5800964149166066,Ns3
0,84,346826,2.526825993921304,Ns3
0,83,389132,2.3831585923036935,Ns3
0,129,24785,1.584518970189702,Ns3
0,59,603246,2.1882683630155038,Ns3
0,122,119890,1.8763624044139,Ns3
